sep=,
Workflow Type,Workflow Duration,Workflow Venue,Workflow Procedures,Task Id,Tasks,Task Priority,Task Duration,Next Task Id,Consumed Data,Data Description,Produced Data,Resources,Resource Qualification
General Surgery,,Major OT,,1,Medical examination,,,2,Sthethescope,,,Doctor,
,,,,2,Instructions to patient,,,3,"Diet details, Admission details",,,Nurse,
,,,,3,Pre-operative test,,,5,"X-ray machine, lab test",,,"Nurse, Lab technician",
,,,,4,Review patient's health history,,,5,"Patient's file, Allergy details, Present medications",,,Nurse,
,,,,5,Pre-operative counselling and get consent from patient ,,,6,Consent form,,Signed consent form,Counsellor,
,,,,6,Patient preparation,,,8,Surgical dress,,,Nurse,
,,,,7,Surgery preparation,,,8,"Cleaning items, Anesthesia tools, Surgical equipments, Sthethescope",,,Doctor,
,,,,8,Transport to OT,,,9,Wheelchair/Bed/Strecher,,,Nurse,
,,,,9,Anesthesia,,,10,"Anesthesia machine, Injection syringe",,,"Anaesthesiologist, Nurse",
,,,,10,Surgery,,,"11, 12","Ventilator, Surgical tools, Blood pressure monitor, Pulse oximeter",,,"Doctor, Nurse",
,,,,11,Transport to post-surgery room,,,13,Wheelchair/Bed/Strecher,,,Nurse,
,,,,12,Cleaning surgery room,,,,Cleaning items,,,Cleaner,
,,,,13,Transport to intensive care room,,,14,Wheelchair/Bed/Strecher,,,Nurse,
,,,,14,Medical examination,,,15,"Ventilator, Blood pressure monitor, Pulse oximeter",,,"Doctor, Nurse",
,,,,15,Post-surgery instructions to Patient,,,,"Diet details, Exercise details, Medications",,,"Doctor, Nurse",
C-section,,Major OT,,1,Patient preparation,,,2,Surgical dress,,,Nurse assistant,
,,,,2,Surgery room preparation,,,3,"Cleaning items, Anesthesia tools, Surgical equipments, Sthethescope",,,Technician,
,,,,3,Transport to OT,,,4,Wheelchair/Bed/Strecher,,,Nurse assistant,
,,,,4,Anesthesia,,,5,"Anesthesia machine, Injection syringe",,,"Anaesthesiologist, Anaesthesiologist Assistant",
,,,,5,Surgery,,60,"6,7","Ventilator, Surgical tools, Blood pressure monitor, Pulse oximeter",,,"Gynecologist, Nurse, Nurse assistant",
,,,,6,Transport to post-surgery room,,60,8,Wheelchair/Bed/Strecher,,,"Nurse assistant, Nurse",
,,,,7,Cleaning surgery room,,,,Cleaning items,,,Cleaner,
,,,,8,Transport to postpartum room,,,,Wheelchair/Bed/Strecher,,,"Nurse assistant, Nurse",
Cardiothoracic surgery,,Cardiac OT,,1,Patient preparation,,,2,Surgical dress,,,Nurse assistant,
,,,,2,Surgery room preparation,,,3,"Cleaning items, Anesthesia tools, Surgical equipments, Sthethescope",,,Technician,
,,,,3,Transport to OT,,,4,Wheelchair/Bed/Strecher,,,Nurse assistant,
,,,,4,Anesthesia,,,5,"Anesthesia machine, Injection syringe",,,"Anaesthesiologist, Anaesthesiologist Assistant",
,,,,5,Surgery,,,"6,7","Ventilator, Surgical tools, Blood pressure monitor, Pulse oximeter",,,"Cardiologic Surgeon, Nurse, Nurse assistant",
,,,,6,Transport to intensive care room,,,,Wheelchair/Bed/Strecher,,,"Nurse assistant, Nurse",
,,,,7,Cleaning surgery room,,,,Cleaning items,,,Cleaner,
Hand surgery,,Minor OT,,1,Patient preparation,,,2,Surgical dress,,,Nurse assistant,
,,,,2,Surgery room preparation,,,3,"Cleaning items, Anesthesia tools, Surgical equipments, Sthethescope",,,Technician,
,,,,3,Transport to OT,,,4,Wheelchair/Bed/Strecher,,,Nurse assistant,
,,,,4,Anesthesia,,,5,"local anesthetic drug, Injection syringe",,,Anaesthesiologist,
,,,,5,Surgery,,,"6,7","Surgical instruments, Blood pressure monitor, Pulse oximeter",,,"Orthopadic surgeon, Plastic Surgeon, Nurse, Nurse assistant",
,,,,6,Transport to post-surgery room,,,,Wheelchair/Bed/Strecher,,,"Nurse assistant, Nurse",
,,,,7,Cleaning surgery room,,,,Cleaning items,,,Cleaner,
Knee surgery,,Major OT,,1,Patient preparation,,,2,Surgical dress,,,Nurse assistant,
,,,,2,Surgery room preparation,,,3,"Cleaning items, Anesthesia tools, Surgical equipments, Sthethescope",,,Technician,
,,,,3,Transport to OT,,,4,Wheelchair/Bed/Strecher,,,Nurse assistant,
,,,,4,Anesthesia,,,5,"Anesthesia machine, Injection syringe",,,"Anaesthesiologist, Anaesthesiologist Assistant",
,,,,5,Surgery,,,"6,7","Ventilator, Surgical tools, Blood pressure monitor, Pulse oximeter",,,"Orthopadic surgeon, Nurse, Nurse assistant",
,,,,6,Transport to intensive care room,,,,Wheelchair/Bed/Strecher,,,"Nurse assistant, Nurse",
,,,,7,Cleaning surgery room,,,,Cleaning items,,,Cleaner,
Hernia Surgery,,Major OT,,1,Patient preparation,,,2,Surgical dress,,,Nurse assistant,
,,,,2,Surgery room preparation,,,3,"Cleaning items, Anesthesia tools, Surgical equipments, Sthethescope",,,Technician,
,,,,3,Transport to OT,,,4,Wheelchair/Bed/Strecher,,,Nurse assistant,
,,,,4,Anesthesia,,,5,"Anesthesia machine, Injection syringe",,,"Anaesthesiologist, Anaesthesiologist Assistant",
,,,,5,Surgery,,,"6,7","Ventilator, Surgical tools, Blood pressure monitor, Pulse oximeter",,,"General surgeon, Nurse, Nurse assistant",
,,,,6,Transport to intensive care room,,,,Wheelchair/Bed/Strecher,,,"Nurse assistant, Nurse",
,,,,7,Cleaning surgery room,,,,Cleaning items,,,Cleaner,
Appendectomy ,,Major OT,,1,Patient preparation,,,2,Surgical dress,,,Nurse assistant,
,,,,2,Surgery room preparation,,,3,"Cleaning items, Anesthesia tools, Surgical equipments, Sthethescope",,,Technician,
,,,,3,Transport to OT,,,4,Wheelchair/Bed/Strecher,,,Nurse assistant,
,,,,4,Anesthesia,,,5,"Anesthesia machine, Injection syringe",,,"Anaesthesiologist, Anaesthesiologist Assistant",
,,,,5,Surgery,,,"6,7","Ventilator, Surgical tools, Blood pressure monitor, Pulse oximeter",,,"General surgeon, Nurse, Nurse assistant",
,,,,6,Transport to intensive care room,,,,Wheelchair/Bed/Strecher,,,"Nurse assistant, Nurse",
,,,,7,Cleaning surgery room,,,,Cleaning items,,,Cleaner,
Hysteroscopy,,Minor OT,,1,Patient preparation,,,2,Surgical dress,,,Nurse assistant,
,,,,2,Surgery room preparation,,,3,"Cleaning items, Anesthesia tools, Surgical equipments, Sthethescope",,,Technician,
,,,,3,Transport to OT,,,4,Wheelchair/Bed/Strecher,,,Nurse assistant,
,,,,4,Anesthesia,,,5,"Anesthesia machine, Injection syringe",,,Anaesthesiologist,
,,,,5,Surgery,,,"6,7","Surgical instruments, Blood pressure monitor, Pulse oximeter",,,"Gynecologist, Nurse, Nurse assistant",
,,,,6,Transport to post-surgery room,,,,Wheelchair/Bed/Strecher,,,"Nurse assistant, Nurse",
,,,,7,Cleaning surgery room,,,,Cleaning items,,,Cleaner,
Hysterectomy,,Major OT,,1,Patient preparation,,,2,Surgical dress,,,Nurse assistant,
,,,,2,Surgery room preparation,,,3,"Cleaning items, Anesthesia tools, Surgical equipments, Sthethescope",,,Technician,
,,,,3,Transport to OT,,,4,Wheelchair/Bed/Strecher,,,Nurse assistant,
,,,,4,Anesthesia,,,5,"Anesthesia machine, Injection syringe",,,Anaesthesiologist,
,,,,5,Surgery,,,"6,7","Surgical instruments, Blood pressure monitor, Pulse oximeter",,,"Gynecologist, Nurse, Nurse assistant",
,,,,6,Transport to post-surgery room,,,,Wheelchair/Bed/Strecher,,,"Nurse assistant, Nurse",
,,,,7,Cleaning surgery room,,,,Cleaning items,,,Cleaner,
